year,south.sst.ndjfm,south.sst.amj
1951,0.562546859,1.117271192
1952,1.286561327,1.13550136
1953,0.985918563,2.695747469
1954,0.89775975,2.375414993
1955,1.055010245,1.7616364
1956,0.494004276,2.435068479
1957,0.571386767,3.203302817
1958,1.804055363,3.377070926
1959,0.97672966,2.232795223
1960,1.25378347,2.521915088
1961,1.275567377,2.463496708
1962,1.35408002,1.734126818
1963,1.298334751,2.209999195
1964,1.361369211,2.469037193
1965,1.143453068,2.070353234
1966,1.647058724,2.631100609
1967,1.496525902,4.181368929
1968,1.468200421,2.630402589
1969,1.421185788,2.622351264
1970,1.772398114,2.567188774
1971,1.470014488,0.885219441
1972,0.776205814,1.152030308
1973,1.30072795,1.889219793
1974,1.519846248,2.463899711
1975,1.438154668,1.702329747
1976,0.926989727,1.354324974
1977,1.863590192,2.600508021
1978,1.982677121,3.562825015
1979,2.497666651,3.945976076
1980,1.971676849,2.773176627
1981,1.746203092,4.449331489
1982,2.054610418,2.399695888
1983,1.660896154,3.776380782
1984,2.295584833,2.955183733
1985,2.738626575,1.941521796
1986,2.241278772,2.703281119
1987,2.757355789,3.448328205
1988,2.240328337,2.863729994
1989,1.705470231,3.12135954
1990,1.789810442,3.268418643
1991,1.893376184,2.665274209
1992,2.027937932,2.926273113
1993,1.695667137,3.704712519
1994,2.599579259,3.414402182
1995,1.671790449,2.671529867
1996,2.31614688,3.601655176
1997,1.980023928,3.642102128
1998,1.956754064,3.257819589
1999,1.934450227,1.967932946
2000,0.971216301,3.278081588
2001,3.377018886,3.94993675
2002,1.721297801,4.123532416
2003,3.017077876,4.338862627
2004,2.493112255,4.082741644
2005,2.70303251,3.903756567
2006,1.558363325,2.716457974
2007,1.771581927,2.404989343
2008,1.397000161,1.847794359
2009,0.997109826,2.069949428
2010,1.619469896,1.858204019
2011,1.74107787,2.939141669
2012,1.045807224,1.865284615
2013,1.074123367,2.697448233
2014,2.429985098,4.159603887
2015,3.196024034,4.314033569
2016,3.50711486,5.300608257
2017,3.177079803,4.060181
2018,3.006657109,4.427273546
2019,3.186077377,5.355699658
